"","interval","steps","date"
"1",0,1.71698113207547,2012-10-01
"11",0,1.71698113207547,2012-11-04
"32",0,1.71698113207547,2012-11-30
"41",0,1.71698113207547,2012-11-14
"45",0,1.71698113207547,2012-11-09
"49",0,1.71698113207547,2012-11-01
"51",0,1.71698113207547,2012-11-10
"58",0,1.71698113207547,2012-10-08
"63",5,0.339622641509434,2012-10-01
"68",5,0.339622641509434,2012-11-04
"76",5,0.339622641509434,2012-11-30
"82",5,0.339622641509434,2012-11-14
"86",5,0.339622641509434,2012-11-09
"89",5,0.339622641509434,2012-10-08
"91",5,0.339622641509434,2012-11-10
"118",5,0.339622641509434,2012-11-01
"127",10,0.132075471698113,2012-11-09
"128",10,0.132075471698113,2012-10-01
"129",10,0.132075471698113,2012-11-30
"131",10,0.132075471698113,2012-11-10
"132",10,0.132075471698113,2012-11-04
"146",10,0.132075471698113,2012-11-01
"151",10,0.132075471698113,2012-11-14
"159",10,0.132075471698113,2012-10-08
"187",15,0.150943396226415,2012-11-30
"195",15,0.150943396226415,2012-11-09
"199",15,0.150943396226415,2012-10-08
"201",15,0.150943396226415,2012-11-04
"205",15,0.150943396226415,2012-10-01
"227",15,0.150943396226415,2012-11-10
"240",15,0.150943396226415,2012-11-01
"244",15,0.150943396226415,2012-11-14
"248",20,0.0754716981132075,2012-10-08
"264",20,0.0754716981132075,2012-10-01
"268",20,0.0754716981132075,2012-11-09
"271",20,0.0754716981132075,2012-11-10
"278",20,0.0754716981132075,2012-11-30
"282",20,0.0754716981132075,2012-11-04
"287",20,0.0754716981132075,2012-11-14
"300",20,0.0754716981132075,2012-11-01
"313",25,2.09433962264151,2012-10-08
"317",25,2.09433962264151,2012-11-30
"327",25,2.09433962264151,2012-10-01
"328",25,2.09433962264151,2012-11-14
"346",25,2.09433962264151,2012-11-09
"350",25,2.09433962264151,2012-11-04
"351",25,2.09433962264151,2012-11-01
"359",25,2.09433962264151,2012-11-10
"369",30,0.528301886792453,2012-11-01
"376",30,0.528301886792453,2012-10-01
"378",30,0.528301886792453,2012-10-08
"394",30,0.528301886792453,2012-11-10
"395",30,0.528301886792453,2012-11-04
"401",30,0.528301886792453,2012-11-30
"403",30,0.528301886792453,2012-11-09
"410",30,0.528301886792453,2012-11-14
"429",35,0.867924528301887,2012-11-30
"431",35,0.867924528301887,2012-11-09
"432",35,0.867924528301887,2012-11-10
"446",35,0.867924528301887,2012-11-14
"449",35,0.867924528301887,2012-11-04
"462",35,0.867924528301887,2012-10-08
"474",35,0.867924528301887,2012-11-01
"481",35,0.867924528301887,2012-10-01
"489",40,0,2012-11-04
"491",40,0,2012-11-30
"495",40,0,2012-10-01
"499",40,0,2012-11-09
"515",40,0,2012-11-01
"516",40,0,2012-10-08
"517",40,0,2012-11-10
"534",40,0,2012-11-14
"552",45,1.47169811320755,2012-10-01
"559",45,1.47169811320755,2012-11-30
"560",45,1.47169811320755,2012-10-08
"575",45,1.47169811320755,2012-11-14
"584",45,1.47169811320755,2012-11-01
"585",45,1.47169811320755,2012-11-04
"586",45,1.47169811320755,2012-11-10
"594",45,1.47169811320755,2012-11-09
"615",50,0.30188679245283,2012-10-08
"620",50,0.30188679245283,2012-10-01
"621",50,0.30188679245283,2012-11-30
"622",50,0.30188679245283,2012-11-09
"625",50,0.30188679245283,2012-11-04
"640",50,0.30188679245283,2012-11-10
"652",50,0.30188679245283,2012-11-01
"657",50,0.30188679245283,2012-11-14
"676",55,0.132075471698113,2012-11-09
"685",55,0.132075471698113,2012-11-14
"687",55,0.132075471698113,2012-11-30
"695",55,0.132075471698113,2012-10-08
"698",55,0.132075471698113,2012-11-04
"706",55,0.132075471698113,2012-11-01
"716",55,0.132075471698113,2012-10-01
"724",55,0.132075471698113,2012-11-10
"746",100,0.320754716981132,2012-11-30
"752",100,0.320754716981132,2012-11-04
"762",100,0.320754716981132,2012-11-01
"766",100,0.320754716981132,2012-10-08
"770",100,0.320754716981132,2012-10-01
"774",100,0.320754716981132,2012-11-09
"778",100,0.320754716981132,2012-11-10
"788",100,0.320754716981132,2012-11-14
"797",105,0.679245283018868,2012-11-30
"800",105,0.679245283018868,2012-11-04
"806",105,0.679245283018868,2012-10-08
"818",105,0.679245283018868,2012-11-10
"827",105,0.679245283018868,2012-11-09
"829",105,0.679245283018868,2012-11-01
"837",105,0.679245283018868,2012-11-14
"840",105,0.679245283018868,2012-10-01
"857",110,0.150943396226415,2012-10-08
"868",110,0.150943396226415,2012-11-30
"869",110,0.150943396226415,2012-11-09
"874",110,0.150943396226415,2012-11-04
"880",110,0.150943396226415,2012-10-01
"884",110,0.150943396226415,2012-11-10
"893",110,0.150943396226415,2012-11-14
"899",110,0.150943396226415,2012-11-01
"919",115,0.339622641509434,2012-11-04
"924",115,0.339622641509434,2012-10-01
"937",115,0.339622641509434,2012-11-30
"939",115,0.339622641509434,2012-11-01
"942",115,0.339622641509434,2012-11-10
"956",115,0.339622641509434,2012-10-08
"960",115,0.339622641509434,2012-11-14
"963",115,0.339622641509434,2012-11-09
"978",120,0,2012-11-10
"983",120,0,2012-11-04
"993",120,0,2012-11-01
"1002",120,0,2012-11-14
"1005",120,0,2012-11-09
"1018",120,0,2012-10-01
"1019",120,0,2012-11-30
"1020",120,0,2012-10-08
"1048",125,1.11320754716981,2012-11-01
"1059",125,1.11320754716981,2012-11-09
"1065",125,1.11320754716981,2012-10-08
"1070",125,1.11320754716981,2012-11-14
"1079",125,1.11320754716981,2012-11-04
"1085",125,1.11320754716981,2012-11-10
"1096",125,1.11320754716981,2012-11-30
"1097",125,1.11320754716981,2012-10-01
